shop_id,shop_name,address,city,state,visit_date,units,feedback,decision_maker,restock_status,test_case_placed,next_plan
9b23999e-a6da-4179-bfd5-2779b8dd2d8d,Sun Flare Smoke and Kava Bar,910 W Bay Dr,Largo,FL,2026-08-20,0,明天sales manager在店里，放试用品,,,false,
537e8858-cc5a-4b0d-b3f1-56db8927da5a,Super Shop Smoke Shop,1001 Broadway,Dunedin,FL,null,null,null,null,null,null,null
79d21518-01b2-4b77-9ecb-18417c64d5ec,The Forge Smoke Shop,908 McMullen Booth Rd,Clearwater,FL,null,null,null,null,null,null,null
b2e659da-d017-4081-9798-1c9fc1e26ea3,tobacco king,5451 31st St S,Clearwater,FL,null,null,null,null,null,null,null
c8913667-c101-47cd-bd2b-fcf0cdabfe9c,Trippsi Trip Smoke shop,3701 FL-580 Ste E,Clearwater,FL,null,null,null,null,null,null,null
91e671dc-8807-4d07-a0bf-2356801ea224,Vapers Club,1379 Main St,Clearwater,FL,null,null,null,null,null,null,null
e7d1110b-f427-41a3-8336-d0ca6521a2dd,Vapor Road Disston Kava Bar & Smoke Shop,3708 49th Street N,St Petersburg,FL,null,null,null,null,null,null,null
e24a62d5-6241-4bd5-9fb3-615bb02053d8,VIP SMOKES,1417 N Betty Ln,Clearwater,FL,2026-08-25,0,店里电子烟摆放面积比较小；一天卖几个几只；给店员留了一个sample,,,false,
4ea2f5b8-506a-43db-9d52-4baa9031ccd6,Wild Side Smoke Shop,4845 34th St S,St Petersburg,FL,null,null,null,null,null,null,null
520da536-f545-4760-a15c-0eff937c174e,Yayas Smoke Shop,2109 Main St e2,Dunedin,FL,null,null,null,null,null,null,null
91733925-0ac2-4c38-9a21-a507e81be1ff,Zaza Smoke Shop,2148 49th St S,St Petersburg,FL,null,null,null,null,null,null,null
